Id,Label,HouseId
AEGON,Aegon,WESTEROS
AERYS,Aerys,WESTEROS
ALTON,Alton,LANNISTER
AMORY,Amory,LANNISTER
ARYA,Arya,STARK
BALON,Balon,GREYJOY
BARRA,Barra,WESTEROS
BENJEN,Benjen,WALL
BILLY,Billy,WESTEROS
BITER,Biter,WESTEROS
BLACK_LORREN,Black Lorren,GREYJOY
BOROS,Boros,WESTEROS
BRAN,Bran,STARK
BRIENNE,Brienne,STARK
BRONN,Bronn,WESTEROS
CAPTAINS_DAUGHTER,Captain's Daughter,WESTEROS
CATELYN,Catelyn,STARK
CERSEI,Cersei,LANNISTER
COLEN,Colen,WESTEROS
CRASTER,Craster,WALL
CRESSEN,Cressen,BARATHEON
DAENERYS,Daenerys,TARGARYEN
DAGMER,Dagmer,GREYJOY
DAISY,Daisy,WESTEROS
DAVOS,Davos,BARATHEON
DONTOS,Dontos,WESTEROS
DOREAH,Doreah,TARGARYEN
DROGO,Drogo,ESSOS
DROWNED_PRIEST,Drowned Priest,WESTEROS
EDDISON_TOLLETT,Eddison,WALL
FARLEN,Farlen,WESTEROS
FATHER_SEAWORTH,Father Seaworth,WESTEROS
FREY_DAUGHTER,Frey Daughter,WESTEROS
GENDRY,Gendry,WESTEROS
GERARD,Gerard,WESTEROS
GILLY,Gilly,WALL
GRENN,Grenn,WALL
HARREN,Harren,WESTEROS
HAYLENE,Haylene,WESTEROS
HIGH_SEPTON,High Septon,WESTEROS
HODOR,Hodor,STARK
HOT_PIE,Hot Pie,WESTEROS
HOUND,Sandor,WESTEROS
ILYN_PAYNE,Ilyn,WESTEROS
IRRI,Irri,TARGARYEN
JACKS,Jacks,WESTEROS
JAIME,Jaime,LANNISTER
JANOS,Janos,WALL
JAQEN,Jaqen,WESTEROS
JEOR,Jeor,WALL
JOANNA,Joanna,WESTEROS
JOFFREY,Joffrey,BARATHEON
JON,Jon,STARK
JON_ARRYN,Jon Arryn,WESTEROS
JORAH,Jorah,TARGARYEN
KEVAN,Kevan,LANNISTER
KOVARRO,Kovarro,TARGARYEN
LANCEL,Lancel,LANNISTER
LITTLEFINGER,Petyr,WESTEROS
LOMMY,Lommy,WESTEROS
LORAS,Loras,TYRELL
LYSA,Lysa,ARRYN
MAESTER_LUWIN,Luwin,STARK
MALAKKO,Malakko,WESTEROS
MANCE,Mance,WALL
MANDON,Mandon,WESTEROS
MARGAERY,Margaery,TYRELL
MARYA,Marya,WESTEROS
MATTHOS,Matthos,BARATHEON
MELESSA,Melessa,WESTEROS
MELISANDRE,Melisandre,BARATHEON
MERYN_TRANT,Meryn,WESTEROS
MHAEGEN,Mhaegen,WESTEROS
MOUNTAIN,Gregor,LANNISTER
MYRCELLA,Myrcella,BARATHEON
NED,Ned,STARK
OSHA,Osha,STARK
PODRICK,Podrick,LANNISTER
POLLIVER,Polliver,LANNISTER
PORTAN,Portan,WESTEROS
PROTESTER,Protester,WESTEROS
PYATT_PREE,Pyatt Pree,ESSOS
PYCELLE,Pycelle,WESTEROS
QHORIN,Quorin,WALL
QUAITHE,Quaithe,ESSOS
QUENT,Quent,WESTEROS
RAKHARO,Rakharo,TARGARYEN
RAMSAY,Ramsay,BOLTON
RANDYLL,Randyll,WESTEROS
LORD_OF_BONES,Lord of Bones,WALL
REGINALD,Reginald,WESTEROS
RENLY,Renly,BARATHEON
RENNICK,Rennick,WESTEROS
RHAEGO,Rhaego,WESTEROS
RHAENYS,Rhaenys,WESTEROS
RICKARD_KARSTARK,Rickard Karstark,STARK
RICKON,Rickon,STARK
ROBB,Robb,STARK
ROBERT,Robert,BARATHEON
ROBIN,Robin,ARRYN
RODRIK,Rodrik,STARK
ROOSE_BOLTON,Roose,BOLTON
RORGE,Rorge,WESTEROS
ROS,Ros,WESTEROS
SALLADHOR,Salladhor,BARATHEON
SAM,Sam,WALL
SANSA,Sansa,STARK
SEPTON,Septon,WESTEROS
SHAE,Shae,WESTEROS
SILK_KING,Silk King,WESTEROS
SPICE_KING,Spice King,ESSOS
STANNIS,Stannis,BARATHEON
SYRIO_FOREL,Syrio,WESTEROS
TALISA,Talisa,STARK
THEON,Theon,GREYJOY
TICKLER,Tickler,LANNISTER
TIMETT,Timett,ARRYN
TOMMEN,Tommen,BARATHEON
TORRHEN,Torrhen,STARK
TRYSTANE,Trystane,WESTEROS
TYRION,Tyrion,LANNISTER
TYWIN,Tywin,LANNISTER
VARYS,Varys,WESTEROS
VISENYA,Visenya,WESTEROS
WINTERFELL_SHEPHERD,Shepherd,WESTEROS
XARO,Xaro,ESSOS
YARA,Yara,GREYJOY
YGRITTE,Ygritte,WALL
YOREN,Yoren,WALL
