Id,Label,HouseId
AEGON,Aegon,WESTEROS
AERYS,Aerys,WESTEROS
ALANNA,Alanna,WESTEROS
ALTON,Alton,LANNISTER
ALYS,Alys,WESTEROS
ARYA,Arya,STARK
BERIC,Beric,WESTEROS
BRAN,Bran,STARK
BRIENNE,Brienne,STARK
BRONN,Bronn,WESTEROS
CATELYN,Catelyn,STARK
CERSEI,Cersei,LANNISTER
CERSEIS_BABY,Cersei's Baby,WESTEROS
CRAYAH,Crayah,WESTEROS
DAENERYS,Daenerys,TARGARYEN
DAVOS,Davos,BARATHEON
DICKON,Dickon,WESTEROS
DIRAH,Dirah,WESTEROS
DORNISH_PRINCE,Dornish Prince,WESTEROS
EDDISON_TOLLETT,Eddison,WALL
EDMURE,Edmure,TULLY
EURON,Euron,WESTEROS
GENDRY,Gendry,WESTEROS
GILLY,Gilly,WALL
GREY_WORM,Grey Worm,TARGARYEN
HARRY,Harry,WESTEROS
HOUND,Sandor,WESTEROS
IRONBORN_LORD,Ironborn Lord,WESTEROS
JAIME,Jaime,LANNISTER
JOFFREY,Joffrey,BARATHEON
JON,Jon,STARK
JORAH,Jorah,TARGARYEN
LITTLE_SAM,Little Sam,WESTEROS
LITTLEFINGER,Petyr,WESTEROS
LYANNA,Lyanna,WESTEROS
LYANNA_MORMONT,Lyanna Mormont,WESTEROS
MAREI,Marei,WESTEROS
MARTHA,Martha,WESTEROS
MARWYN,Marwyn,WESTEROS
MELISANDRE,Melisandre,BARATHEON
MISSANDEI,Missandei,TARGARYEN
MOUNTAIN,Gregor,LANNISTER
NED,Ned,STARK
NED_UMBER,Ned Umber,WESTEROS
NIGHT_KING,Night King,WESTEROS
NORA,Nora,WESTEROS
OWEN,Owen,WESTEROS
PODRICK,Podrick,LANNISTER
QHONO,Qhono,WESTEROS
QYBURN,Qyburn,WESTEROS
RAMSAY,Ramsay,BOLTON
RANDYLL,Randyll,WESTEROS
RHAEGAR,Rhaegar,WESTEROS
RIVERLANDS_LORD,Riverlands Lord,WESTEROS
ROBERT,Robert,BARATHEON
ROBIN,Robin,ARRYN
SAM,Sam,WALL
SANSA,Sansa,STARK
SARRA,Sarra,WESTEROS
TEELA,Teela,WESTEROS
THEON,Theon,GREYJOY
TORMUND,Tormund,WALL
TYRION,Tyrion,LANNISTER
TYWIN,Tywin,LANNISTER
UNSULLIED_CAPTAIN,Unsullied Captain,WESTEROS
VALE_LORD,Vale Lord,WESTEROS
VARYS,Varys,WESTEROS
VICKY,Vicky,WESTEROS
VISERYS,Viserys,TARGARYEN
WILLA,Willa,WESTEROS
WILLIAM,William,WESTEROS
MAESTER_WOLKAN,Wolkan,WESTEROS
YARA,Yara,GREYJOY
YOHN_ROYCE,Yohn Royce,WESTEROS
