Id,Label,HouseId
ADRACK_HUMBLE,Adrack Humble,WESTEROS
AERYS,Aerys,WESTEROS
ALLISER_THORNE,Alliser Thorne,WALL
ANYA_WAYNWOOD,Anya Waynwood,WESTEROS
ARYA,Arya,STARK
AXELL_FLORENT,Axell Florent,WESTEROS
BAELOR,Baelor,WESTEROS
BALON,Balon,GREYJOY
BALON_DWARF,Balon Dwarf,WESTEROS
BARRISTAN,Barristan,TARGARYEN
BITER,Biter,WESTEROS
BLACK_JACK,Black Jack,WESTEROS
BOLTON_GUARD,Bolton Guard,WESTEROS
BOROS,Boros,WESTEROS
BRAN,Bran,STARK
BRIENNE,Brienne,STARK
BRONN,Bronn,WESTEROS
CATELYN,Catelyn,STARK
CERSEI,Cersei,LANNISTER
COOPER,Cooper,WESTEROS
CRASTER,Craster,WALL
CRASTERS_BABY,Baby,WESTEROS
DAARIO,Daario,TARGARYEN
DAENERYS,Daenerys,TARGARYEN
DAVOS,Davos,BARATHEON
EDDISON_TOLLETT,Eddison,WALL
DONGO_THE_GIANT,Dongo the Giant,WESTEROS
DONNEL_HILL,Donnel Hill,WESTEROS
DONNEL_WAYNWOOD,Donnel Waynwood,WESTEROS
DONTOS,Dontos,WESTEROS
DORAN,Doran,WESTEROS
DORNISH_LORD,Dornish Lord,WESTEROS
DROGO,Drogo,ESSOS
DYING_MAN,Dying Man,WESTEROS
ELDER_MEEREEN_SLAVE,Meereen Statesman,WESTEROS
ELIA,Elia,WESTEROS
ELLARIA,Ellaria,MARTELL
ENDREW,Endrew,WESTEROS
FALYSE,Falyse,WESTEROS
FARMER_HAMLET,Hamlet Farmer,WESTEROS
FENNESZ,Fennesz,WESTEROS
FIRST_MATE,First Mate,WESTEROS
FOOL,Fool,WESTEROS
GILLY,Gilly,WALL
GOATHERD,Goatherd,WESTEROS
GOATHERDS_SON,Goatherd's Son,WESTEROS
GRENN,Grenn,WALL
GREY_WORM,Grey Worm,TARGARYEN
GUYMON,Guymon,WESTEROS
HIGH_SEPTON,High Septon,WESTEROS
HIZDAHR,Hizdahr,ESSOS
HIZDAHRS_FATHER,Hizdahr's Father,WESTEROS
HODOR,Hodor,STARK
HOSTER,Hoster,WESTEROS
HOT_PIE,Hot Pie,WESTEROS
INNKEEPER,Innkeeper,WESTEROS
INNKEEPERS_DAUGHTER,Innkeeper's Daughter,WESTEROS
JAIME,Jaime,LANNISTER
JANOS,Janos,WALL
JAQEN,Jaqen,WESTEROS
JEOR,Jeor,WALL
JOANNA,Joanna,WESTEROS
JOFFREY,Joffrey,BARATHEON
JOFFREY_DWARF,Joffrey Dwarf,WESTEROS
JOJEN,Jojen,STARK
JON,Jon,STARK
JON_ARRYN,Jon Arryn,WESTEROS
JORAH,Jorah,TARGARYEN
KARL_TANNER,Karl,WALL
KEGS,Kegs,WESTEROS
LEAF,Leaf,WESTEROS
LHARA,Lhara,WESTEROS
LITTLE_SAM,Little Sam,WESTEROS
LITTLEFINGER,Petyr,WESTEROS
LOCKE,Locke,BOLTON
LOLLYS,Lollys,WESTEROS
LOMMY,Lommy,WESTEROS
LORAS,Loras,TYRELL
LUTHOR,Luthor,WESTEROS
LYSA,Lysa,ARRYN
MACE,Mace,TYRELL
MAESTER_AEMON,Aemon,WALL
MAG_THE_MIGHTY,Mag the Mighty,WESTEROS
MANCE,Mance,WALL
MANSERVANT,Manservant,WESTEROS
MAREI,Marei,WESTEROS
MARGAERY,Margaery,TYRELL
MASTER_MIGHDAL,Master Mighdal,WESTEROS
MEERA,Meera,STARK
MEEREEN_CHAMPION,Meereen Champion,WESTEROS
MEEREEN_SLAVE,Meereen Slave,WESTEROS
MELISANDRE,Melisandre,BARATHEON
MERYN_TRANT,Meryn,WESTEROS
MISSANDEI,Missandei,TARGARYEN
MOLES_TOWN_MADAM,Mole's Town Madam,WESTEROS
MOLES_TOWN_WHORE,Mole's Town Whore,WESTEROS
MORAG,Morag,WESTEROS
MORGAN,Morgan,WESTEROS
MORGANS_FRIEND,Morgan's Friend,WESTEROS
MOSSADOR,Mossador,WESTEROS
MOUNTAIN,Gregor,LANNISTER
MULLY,Mully,WESTEROS
MUSICIAN,Musician,WESTEROS
MYRANDA,Myranda,WESTEROS
MYRCELLA,Myrcella,BARATHEON
NED,Ned,STARK
NIGHT_KING,Night King,WESTEROS
OBERYN,Oberyn,MARTELL
OLENNA,Olenna,TYRELL
OLLY,Olly,WESTEROS
OLLYS_MOTHER,Olly's Mother,WESTEROS
OLYVAR,Olyvar,WESTEROS
ORSON,Orson,WESTEROS
ORYS,Orys,WESTEROS
ORYS_BROTHER,Orys's Brother,WESTEROS
OTHELL_YARWYCK,Othell,WESTEROS
PODRICK,Podrick,LANNISTER
POLLIVER,Polliver,LANNISTER
PYCELLE,Pycelle,WESTEROS
PYP,Pyp,WALL
QHORIN,Qhorin,WALL
QYBURN,Qyburn,WESTEROS
RALF,Ralf,WESTEROS
RAMSAY,Ramsay,BOLTON
RANDYLL,Randyll,WESTEROS
RAST,Rast,WALL
RENLY,Renly,BARATHEON
RENLY_DWARF,Renly Dwarf,WESTEROS
RHAEGAR,Rhaegar,WESTEROS
RICKON,Rickon,STARK
ROBB,Robb,STARK
ROBB_DWARF,Robb Dwarf,WESTEROS
ROBERT,Robert,BARATHEON
ROBIN,Robin,ARRYN
ROOSE_BOLTON,Roose,BOLTON
RORGE,Rorge,WESTEROS
SALLADHOR,Salladhor,BARATHEON
SALLY,Sally,WESTEROS
SAM,Sam,WALL
HOUND,Sandor,WESTEROS
SANSA,Sansa,STARK
SELWYN,Selwyn,WESTEROS
SELYSE,Selyse,BARATHEON
SHAE,Shae,WESTEROS
SHIREEN,Shireen,BARATHEON
SISSY,Sissy,WESTEROS
STANNIS,Stannis,BARATHEON
STANNIS_DWARF,Stannis Dwarf,WESTEROS
STYR,Styr,WALL
SYRIO_FOREL,Syrio Forel,WESTEROS
TANSY,Tansy,WESTEROS
TERNESIO_TERYS,Ternesio Terys,WESTEROS
THENN_WARG,Thenn Warg,WESTEROS
THEON,Theon,GREYJOY
THREE_EYED_RAVEN,Three Eyed Raven,WESTEROS
TOMMEN,Tommen,BARATHEON
TOMMY,Tommy,WESTEROS
TORMUND,Tormund,WALL
TYCHO,Tycho,ESSOS
TYRION,Tyrion,LANNISTER
TYWIN,Tywin,LANNISTER
VANCE_CORBRAY,Vance Corbray,WESTEROS
VARYS,Varys,WESTEROS
VIOLA,Viola,WESTEROS
VISERYS,Viserys,TARGARYEN
WALDA,Walda,BOLTON
WAYMAR_ROYCE,Waymar Royce,WESTEROS
WHITE_WALKER,White Walker,WESTEROS
YARA,Yara,GREYJOY
YGRITTE,Ygritte,WALL
YOHN_ROYCE,Yohn Royce,WESTEROS
ZALA,Zala,WESTEROS
