Id,Label,HouseId
AEGON,Aegon,WESTEROS
AERYS,Aerys,WESTEROS
ALYS,Alys,WESTEROS
ARYA,Arya,STARK
BALERION,Balerion,WESTEROS
BENJEN,Benjen,WALL
BERIC,Beric,WESTEROS
BRAN,Bran,STARK
BRIENNE,Brienne,STARK
BRONN,Bronn,WESTEROS
CATELYN,Catelyn,STARK
CERSEI,Cersei,LANNISTER
DAENERYS,Daenerys,TARGARYEN
DAVOS,Davos,BARATHEON
DICKON,Dickon,WESTEROS
EDDISON_TOLLETT,Eddison,WALL
DROGO,Drogo,ESSOS
ELLARIA,Ellaria,MARTELL
EURON,Euron,WESTEROS
GENDRY,Gendry,WESTEROS
GILLY,Gilly,WALL
GREY_WORM,Grey Worm,TARGARYEN
HARRAG,Harrag,WESTEROS
HIGH_SEPTON,High Septon (Aerys),WESTEROS
HOT_PIE,Hot Pie,WESTEROS
HOUND,Sandor,WESTEROS
HOWLAND,Howland,WESTEROS
JAIME,Jaime,LANNISTER
JEOR,Jeor,WALL
JOANNA,Joanna,WESTEROS
JOFFREY,Joffrey,BARATHEON
JON,Jon,STARK
JON_ARRYN,Jon Arryn,WESTEROS
JORAH,Jorah,TARGARYEN
LITTLE_SAM,Little Sam,WESTEROS
LITTLEFINGER,Petyr,WESTEROS
LYANNA,Lyanna,WESTEROS
LYANNA_MORMONT,Lyanna Mormont,WESTEROS
LYSA,Lysa,ARRYN
MARGAERY,Margaery,TYRELL
MARWYN,Marwin,WESTEROS
MEERA,Meera,STARK
MELISANDRE,Melisandre,BARATHEON
MISSANDEI,Missandei,TARGARYEN
MOUNTAIN,Gregor,LANNISTER
MYRCELLA,Myrcella,BARATHEON
NED,Ned,STARK
NED_UMBER,Ned Umber,WESTEROS
NIGHT_KING,Night King,WESTEROS
NYMERIA,Nymeria,WESTEROS
OBARA,Obara,WESTEROS
OBERYN,Oberyn,MARTELL
OLENNA,Olenna,TYRELL
PODRICK,Podrick,LANNISTER
QHONO,Qhono,WESTEROS
QYBURN,Qyburn,WESTEROS
RAMSAY,Ramsay,BOLTON
RANDYLL,Randyll,WESTEROS
RHAEGAR,Rhaegar,WESTEROS
ROBB,Robb,STARK
ROBERT,Robert,BARATHEON
ROBETT,Robett,WESTEROS
SAM,Sam,WALL
SANSA,Sansa,STARK
SHIREEN,Shireen,BARATHEON
STANNIS,Stannis,BARATHEON
THEON,Theon,GREYJOY
THOROS,Thoros,WESTEROS
TOMMEN,Tommen,BARATHEON
TORMUND,Tormund,WALL
TYCHO,Tycho,ESSOS
TYENE,Tyene,WESTEROS
TYRION,Tyrion,LANNISTER
TYWIN,Tywin,LANNISTER
VARYS,Varys,WESTEROS
VISERYS,Viserys,TARGARYEN
WALDER,Walder,FREY
WHITE_WALKER,White Walker,WESTEROS
MAESTER_WOLKAN,Wolkan,WESTEROS
YARA,Yara,GREYJOY
YOHN_ROYCE,Yohn Royce,WESTEROS
