Id,Label,HouseId
AERON,Aeron,WESTEROS
AERYS,Aerys,WESTEROS
ALLISER_THORNE,Alliser,WALL
AREO,Areo,WESTEROS
ARTHUR,Arthur,WESTEROS
ARTHUR_CHILD,Arthur (child),WESTEROS
ARYA,Arya,STARK
BALON,Balon,GREYJOY
BELICHO,Belicho,WESTEROS
BENJEN,Benjen,WALL
BERIC,Beric,WESTEROS
BIANCA,Bianca,WESTEROS
BLACK_WALDER,Black Walder,WESTEROS
BOBONO,Bobono,WESTEROS
BOWEN_MARSH,Bowen,WALL
BRAN,Bran,STARK
BRIENNE,Brienne,STARK
BRONN,Bronn,WESTEROS
BRYNDEN,Brynden,TULLY
CAMELLO,Camello,WESTEROS
CATELYN,Catelyn,STARK
CERSEI,Cersei,LANNISTER
CLARENZO,Clarenzo,WESTEROS
DAARIO,Daario,TARGARYEN
DAENERYS,Daenerys,TARGARYEN
DAVOS,Davos,BARATHEON
DICKON,Dickon,WESTEROS
DIM_DALBA,Dim Dalba,WESTEROS
EDDISON_TOLLETT,Eddison,WALL
DOM,Dom,WESTEROS
DORAN,Doran,WESTEROS
DOSH_KHALEEN_LEADER,Dosh Khaleen Leader,WESTEROS
DROGO,Drogo,ESSOS
EDMURE,Edmure,TULLY
ELLARIA,Ellaria,MARTELL
EURON,Euron,WESTEROS
FLYNN,Flynn,WESTEROS
GATINS,Gatins,WESTEROS
GILLY,Gilly,WALL
GLOVER,Glover,WESTEROS
GREY_WORM,Grey Worm,TARGARYEN
GUARD_CAPTAIN,Guard Captain,WESTEROS
HARALD,Harald,WESTEROS
HIGH_SPARROW,High Sparrow,WESTEROS
HODOR,Hodor,STARK
HOSTER,Hoster,WESTEROS
HOUND,Sandor,WESTEROS
HOWLAND,Howland,WESTEROS
IZEMBARO,Izembaro,WESTEROS
JAIME,Jaime,LANNISTER
JAQEN,Jaqen,WESTEROS
JEOR,Jeor,WALL
JOFFREY,Joffrey,BARATHEON
JON,Jon,STARK
JORAH,Jorah,TARGARYEN
KEVAN,Kevan,LANNISTER
KHAL_MORO,Khal Moro,WESTEROS
KINVARA,Kinvara,WESTEROS
KRAZNYS_MO_NAKLOZ,Kraznys,ESSOS
LADY_CRANE,Lady Crane,WESTEROS
LANCEL,Lancel,LANNISTER
LEAF,Leaf,WESTEROS
LEM,Lem,WESTEROS
LHAZAREEN_WOMAN,Lhazareen Woman,WESTEROS
LITTLE_SAM,Little Sam,WESTEROS
LITTLEFINGER,Petyr,WESTEROS
LORAS,Loras,TYRELL
LOTHAR,Lothar,FREY
LYANNA,Lyanna,WESTEROS
LYANNA_MORMONT,Lyanna Mormont,WESTEROS
MACE,Mace,TYRELL
MAESTER_AEMON,Aemon,WALL
MAESTER_CITADEL,Citadel Maester,WESTEROS
MAESTER_DORNE,Dorne Maester,WESTEROS
MAESTER_MORMONT,Mormont Maester,WESTEROS
MAESTER_WOLKAN,Wolkan,WESTEROS
MANCE,Mance,WALL
MANDERLY,Manderly,WESTEROS
MARGAERY,Margaery,TYRELL
MEERA,Meera,STARK
MELESSA,Melessa,WESTEROS
MELISANDRE,Melisandre,BARATHEON
MINISA,Minisa,WESTEROS
MISSANDEI,Missandei,TARGARYEN
MORGAN,Morgan,WESTEROS
MOUNTAIN,Gregor,LANNISTER
MYRANDA,Myranda,WESTEROS
MYRCELLA,Myrcella,BARATHEON
NED,Ned,STARK
NIGHT_KING,Night King,WESTEROS
NYMERIA,Nymeria,WESTEROS
OBARA,Obara,WESTEROS
OBERYN,Oberyn,MARTELL
OLD_NAN,Old Nan,STARK
OLENNA,Olenna,TYRELL
OLLY,Olly,WESTEROS
OSHA,Osha,STARK
OTHELL_YARWYCK,Othell,WESTEROS
PODRICK,Podrick,LANNISTER
PYCELLE,Pycelle,WESTEROS
QYBURN,Qyburn,WESTEROS
RAMSAY,Ramsay,BOLTON
RANDYLL,Randyll,WESTEROS
RAY,Ray,WESTEROS
RAZDAL,Razdal,WESTEROS
RED_PRIEST,Red Priest,WESTEROS
RICKARD_KARSTARK,Rickard Karstark,STARK
RICKARD_STARK,Rickard Stark,WESTEROS
RICKON,Rickon,STARK
ROBB,Robb,STARK
ROBERT,Robert,BARATHEON
ROBETT,Robett,WESTEROS
ROBIN,Robin,ARRYN
RODRIK,Rodrik,STARK
ROOSE_BOLTON,Roose,BOLTON
SAM,Sam,WALL
SANSA,Sansa,STARK
SEPTA_UNELLA,Septa Unella,WESTEROS
SHIREEN,Shireen,BARATHEON
SMALLJON,Smalljon,WESTEROS
SON_OF_EDMURE,Edmure's Son,WESTEROS
SON_OFWALDA,Roose's Son,WESTEROS
STANNIS,Stannis,BARATHEON
TALLA,Talla,WESTEROS
THEON,Theon,GREYJOY
THOROS,Thoros,WESTEROS
THREE_EYED_RAVEN,Three Eyed Raven,WESTEROS
TOMMEN,Tommen,BARATHEON
TORMUND,Tormund,WALL
TRYSTANE,Trystane,WESTEROS
TYENE,Tyene,WESTEROS
TYRION,Tyrion,LANNISTER
TYWIN,Tywin,LANNISTER
VALA,Vala,WESTEROS
VARYS,Varys,WESTEROS
WAIF,Waif,WESTEROS
WALDA,Walda,BOLTON
WALDER,Walder,FREY
WUN_WUN,Wun Wun,WESTEROS
YARA,Yara,GREYJOY
YEZZAN,Yezzan,WESTEROS
YOHN_ROYCE,Yohn,WESTEROS
